metric,reliability,effective_dimension,heldout_l2_spearman,heldout_l2_mantel_p,heldout_l2_nn_agreement,heldout_l3_spearman,heldout_l3_mantel_p,heldout_l3_nn_agreement
probe_output_l2,0.9810349517679253,2.3565117786259813,0.9582740574198788,0.0004997501249375312,0.9230769230769231,0.8611529442307577,0.0004997501249375312,0.7692307692307693
performance_footprint_l3,0.8989913681527966,2.333546049949406,0.7442363684630803,0.0009995002498750624,0.5384615384615384,0.8162831756933137,0.0004997501249375312,0.46153846153846156
llm_direct_l1plus,0.20340313209054786,2.55109655320034,0.26226383110552526,0.15292353823088456,0.3076923076923077,0.45228687405875584,0.03798100949525238,0.3076923076923077
llm_descriptor_tfidf_l1proxy,nan,2.1119021314390842,0.03591367327424405,0.37881059470264866,0.5384615384615384,0.17082067558963018,0.1344327836081959,0.46153846153846156
ast_l0,1.0,2.3117101171214105,-0.13348341895854737,0.8375812093953023,0.3076923076923077,-0.09148743764728927,0.7321339330334833,0.23076923076923078
token_l0,1.0,2.279182220325614,-0.19340762272086828,0.9205397301349325,0.15384615384615385,-0.11184472688491676,0.7541229385307346,0.07692307692307693
